report_received_date,manufacturer,component,recall_type,potentially_affected
12/11/2015,Highland Ridge RV,EQUIPMENT,Vehicle,180.0
12/11/2015,"General Motors, LLC",SEATS,Vehicle,2633.0
12/11/2015,"Trail Boss Conversions, Inc.",EQUIPMENT,Vehicle,1.0
12/10/2015,"General Motors, LLC",AIR BAGS,Vehicle,90.0
12/10/2015,"Forest River, Inc.",EQUIPMENT,Vehicle,721.0
12/10/2015,"Roush Performance Products, Inc.","SERVICE BRAKES, HYDRAULIC",Vehicle,461.0
12/10/2015,Cooper Tire & Rubber Co.,TIRES,Tire,153.0
12/09/2015,"Chrysler (FCA US, LLC)",ELECTRICAL SYSTEM,Vehicle,32784.0
12/09/2015,"Halcore Group, Inc.",ELECTRICAL SYSTEM,Vehicle,18.0
12/09/2015,Newmar Corporation,STEERING,Vehicle,1920.0
12/09/2015,"Ameritrans Bus, Inc.",EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,26.0
12/08/2015,"Volkswagen Group of America, Inc.",AIR BAGS,Vehicle,21074.0
12/08/2015,"Strick Trailers, LLC",STRUCTURE,Vehicle,188.0
12/08/2015,"Volkswagen Group of America, Inc.",AIR BAGS,Vehicle,904.0
12/08/2015,"Grand Design RV, LLC",EQUIPMENT,Vehicle,32.0
12/07/2015,Polaris Inc.,SEAT BELTS,Vehicle,1364.0
12/07/2015,"Daimler Trucks North America, LLC",ENGINE AND ENGINE COOLING,Vehicle,17.0
12/07/2015,Honda (American Honda Motor Co.),POWER TRAIN,Vehicle,1825.0
12/07/2015,Triple E Recreational Vehicles,EQUIPMENT,Vehicle,2.0
12/07/2015,Tiny Idahomes LLC,EQUIPMENT,Vehicle,13.0
12/04/2015,"Mitsubishi Motors North America, Inc.",AIR BAGS,Vehicle,55899.0
12/03/2015,"ShowHauler Trucks, Inc.",EQUIPMENT,Vehicle,1.0
12/02/2015,Ford Motor Company,ELECTRICAL SYSTEM,Vehicle,9017.0
12/02/2015,Ford Motor Company,"FUEL SYSTEM, GASOLINE",Vehicle,868.0
12/01/2015,"General Motors, LLC",LATCHES/LOCKS/LINKAGES,Vehicle,8763.0
12/01/2015,"Ferrari North America, Inc.","FUEL SYSTEM, GASOLINE",Vehicle,185.0
12/01/2015,"Altec Industries, Inc.",EQUIPMENT,Vehicle,718.0
12/01/2015,Newmar Corporation,EQUIPMENT,Vehicle,979.0
11/30/2015,Newmar Corporation,ELECTRICAL SYSTEM,Vehicle,1085.0
11/30/2015,Terex Environmental Equipment,EQUIPMENT,Vehicle,141.0
11/30/2015,"Mack Trucks, Inc.","SERVICE BRAKES, AIR",Vehicle,679.0
11/30/2015,"Forest River, Inc.",SEAT BELTS,Vehicle,285.0
11/30/2015,"Yamaha Motor Corporation, USA",POWER TRAIN,Vehicle,2921.0
11/25/2015,Newmar Corporation,STRUCTURE,Vehicle,10.0
11/25/2015,"Forest River, Inc.",EQUIPMENT,Vehicle,9687.0
11/25/2015,"Chrysler (FCA US, LLC)",ELECTRICAL SYSTEM,Vehicle,16106.0
11/25/2015,"Chrysler (FCA US, LLC)","SERVICE BRAKES, HYDRAULIC",Vehicle,105425.0
11/25/2015,"Columbia Northwest, Inc.",EQUIPMENT,Vehicle,46.0
11/24/2015,Wabash National Corporation,"SERVICE BRAKES, AIR",Vehicle,91.0
11/24/2015,"ST Engineering Hackney, Inc","SERVICE BRAKES, AIR",Vehicle,6.0
11/24/2015,"Nissan North America, Inc.",EQUIPMENT,Vehicle,18.0
11/24/2015,"Subaru of America, Inc.",POWER TRAIN,Vehicle,3251.0
11/24/2015,Ford Motor Company,"FUEL SYSTEM, GASOLINE",Vehicle,411205.0
11/24/2015,"Mercedes-Benz USA, LLC","FUEL SYSTEM, GASOLINE",Vehicle,809.0
11/24/2015,"Mercedes-Benz USA, LLC",ELECTRICAL SYSTEM,Vehicle,52.0
11/24/2015,Ford Motor Company,POWER TRAIN,Vehicle,13.0
11/23/2015,DS Corp - DBA Crossroads RV,SUSPENSION,Vehicle,9.0
11/23/2015,"BMW of North America, LLC",POWER TRAIN,Vehicle,42.0
11/23/2015,"Suzuki Motor USA, LLC","SERVICE BRAKES, HYDRAULIC",Vehicle,600.0
11/23/2015,"Tesla, Inc.",SEAT BELTS,Vehicle,59415.0
11/23/2015,"Strick Trailers, LLC",STRUCTURE,Vehicle,2179.0
11/23/2015,"BMW of North America, LLC",AIR BAGS,Vehicle,13.0
11/23/2015,Supreme Corporation,VISIBILITY,Vehicle,45.0
11/20/2015,"Navistar, Inc.",VEHICLE SPEED CONTROL,Vehicle,15730.0
11/20/2015,Polaris Inc.,ELECTRICAL SYSTEM,Vehicle,9182.0
11/20/2015,Isuzu Motors Limited,EQUIPMENT,Vehicle,25209.0
11/20/2015,"Nissan North America, Inc.",POWER TRAIN,Vehicle,33880.0
11/20/2015,New England Wheels,EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,278.0
11/19/2015,Utility Trailer Manufacturing Company,"SERVICE BRAKES, AIR",Vehicle,10.0
11/19/2015,"Forest River, Inc.",EQUIPMENT,Vehicle,489.0
11/19/2015,"Gillig, LLC",EQUIPMENT ADAPTIVE/MOBILITY,Equipment,4.0
11/19/2015,"Corp. Micro Bird, Inc.",EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,25.0
11/19/2015,"Kingmor Supply, Inc.",EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,271.0
11/19/2015,Coach and Equipment Mfg. Corp.,EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,2029.0
11/18/2015,"Forest River, Inc.",EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,813.0
11/18/2015,"Forest River, Inc.",EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,1001.0
11/18/2015,"Forest River, Inc.",EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,43.0
11/18/2015,"Forest River, Inc.",EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,5675.0
11/18/2015,"Corp. Micro Bird, Inc.",EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,223.0
11/17/2015,Keystone RV Company,EQUIPMENT,Vehicle,1756.0
11/17/2015,M.B. Sturgis Inc.,EQUIPMENT,Equipment,1456.0
11/17/2015,"Airstream, Inc.",EQUIPMENT,Vehicle,904.0
11/17/2015,"Evergreen Recreational Vehicles, LLC",EQUIPMENT,Vehicle,1656.0
11/17/2015,"Mobility Specialists, Inc.",EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,285.0
11/16/2015,Hyundai Motor America,EXTERIOR LIGHTING,Vehicle,304900.0
11/16/2015,Hyundai Motor America,POWER TRAIN,Vehicle,10800.0
11/16/2015,"Navistar, Inc.",ENGINE AND ENGINE COOLING,Vehicle,60.0
11/16/2015,Pierce Manufacturing,EQUIPMENT,Vehicle,186.0
11/16/2015,"Winnebago Industries, Inc.",EQUIPMENT,Vehicle,257.0
11/16/2015,"Champion Bus, Inc.",EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,1338.0
11/13/2015,"Daimler Trucks North America, LLC",ELECTRICAL SYSTEM,Vehicle,27.0
11/13/2015,Newmar Corporation,ENGINE AND ENGINE COOLING,Vehicle,465.0
11/13/2015,"Graco Children's Products, Inc.",CHILD SEAT,Child Seat,8240.0
11/13/2015,"Trails West Manufacturing of Idaho, Inc.",SUSPENSION,Vehicle,279.0
11/13/2015,REV Recreation Group,EQUIPMENT,Vehicle,15.0
11/12/2015,Specialty Manufacturing Co.,EQUIPMENT,Equipment,3796.0
11/12/2015,Newmar Corporation,EQUIPMENT,Vehicle,90.0
11/12/2015,Goshen Coach,EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,1442.0
11/12/2015,"Winnebago Industries, Inc.",EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,3.0
11/12/2015,Eldorado National-Kansas,EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,2978.0
11/10/2015,Van Hool N.V.,"SERVICE BRAKES, AIR",Vehicle,48.0
11/10/2015,Shyft Group,POWER TRAIN,Vehicle,23.0
11/10/2015,Thor Motor Coach,EQUIPMENT,Vehicle,12656.0
11/10/2015,"Forest River, Inc.",PARKING BRAKE,Vehicle,13.0
11/10/2015,"Maserati North America, Inc.",LATCHES/LOCKS/LINKAGES,Vehicle,135.0
11/09/2015,"Forest River, Inc.",EQUIPMENT,Vehicle,67.0
11/09/2015,"BMW of North America, LLC",AIR BAGS,Vehicle,38.0
11/09/2015,"SynTec Seating Solutions, LLC",SEATS,Equipment,3585.0
11/09/2015,PACCAR Incorporated,TIRES,Vehicle,1876.0
11/06/2015,Outdoors RV Manufacturing,ELECTRICAL SYSTEM,Vehicle,99.0
11/05/2015,"Nissan North America, Inc.","SERVICE BRAKES, HYDRAULIC",Vehicle,119.0
11/05/2015,Nova Bus (US) Inc.,STRUCTURE,Vehicle,304.0
11/05/2015,Collins Bus Corporation,EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,2980.0
11/05/2015,"Dodgen Industries, Inc.",EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,8.0
11/04/2015,Mobility Works (WMK Inc.),EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,667.0
11/04/2015,Blue Bird Body Company,EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,5114.0
11/04/2015,Blue Bird Body Company,EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,90.0
11/03/2015,Newmar Corporation,SUSPENSION,Vehicle,60.0
11/03/2015,Prevost Car (US) Inc.,SUSPENSION,Vehicle,7.0
11/03/2015,"Forest River, Inc.",POWER TRAIN,Vehicle,217.0
11/03/2015,Toyota Motor Engineering & Manufacturing,FORWARD COLLISION AVOIDANCE,Vehicle,30812.0
11/03/2015,Diamond Coach Corporation,EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,49.0
11/02/2015,Kovatch Mobile Equipment Corp.,POWER TRAIN,Vehicle,3.0
11/02/2015,"McNeilus Truck & Manufacturing, Inc.",ENGINE,Vehicle,730.0
11/02/2015,Indian Motorcycle Company,"SERVICE BRAKES, HYDRAULIC",Vehicle,7614.0
11/02/2015,"Transportation Collaborative, Inc.",EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,188.0
10/30/2015,"BMW of North America, LLC",CHILD SEAT,Vehicle,7162.0
10/30/2015,"General Motors, LLC",EQUIPMENT,Vehicle,1808.0
10/30/2015,"Porsche Cars North America, Inc.","FUEL SYSTEM, GASOLINE",Vehicle,21835.0
10/30/2015,Thor Motor Coach,POWER TRAIN,Vehicle,209.0
10/29/2015,Honda (American Honda Motor Co.),AIR BAGS,Vehicle,515.0
10/29/2015,"Eldorado National- California, Inc.",ELECTRICAL SYSTEM,Vehicle,58.0
10/29/2015,"Eldorado National- California, Inc.",EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,18.0
10/28/2015,"Adient, PLC",SEATS,Equipment,17280.0
10/28/2015,Newmar Corporation,POWER TRAIN,Vehicle,93.0
10/27/2015,"Mercedes-Benz USA, LLC",AIR BAGS,Vehicle,127504.0
10/27/2015,Ford Motor Company,ELECTRICAL SYSTEM,Vehicle,65.0
10/27/2015,Ford Motor Company,"FUEL SYSTEM, GASOLINE",Vehicle,110636.0
10/27/2015,"Mercedes-Benz USA, LLC",POWER TRAIN,Vehicle,52.0
10/27/2015,Fontaine Trailer Company,STRUCTURE,Vehicle,552.0
10/26/2015,Pierce Manufacturing,POWER TRAIN,Vehicle,5.0
10/26/2015,"General Motors, LLC",ENGINE AND ENGINE COOLING,Vehicle,1003556.0
10/26/2015,Isuzu Motors Limited,"FUEL SYSTEM, GASOLINE",Vehicle,13671.0
10/26/2015,"Mack Trucks, Inc.",ENGINE AND ENGINE COOLING,Vehicle,2571.0
10/26/2015,"Volkswagen Group of America, Inc.",ENGINE AND ENGINE COOLING,Vehicle,91867.0
10/26/2015,Ford Motor Company,CHILD SEAT,Vehicle,1900.0
10/26/2015,"Terex Advance Mixer, Inc.",STEERING,Vehicle,288.0
10/23/2015,"Navistar, Inc.",POWER TRAIN,Vehicle,5.0
10/23/2015,Honda (American Honda Motor Co.),AIR BAGS,Vehicle,25367.0
10/23/2015,Thor Motor Coach,PARKING BRAKE,Vehicle,17.0
10/23/2015,Honda (American Honda Motor Co.),"SERVICE BRAKES, HYDRAULIC",Vehicle,145219.0
10/23/2015,Starcraft RV,ELECTRICAL SYSTEM,Vehicle,36.0
10/23/2015,"BMW of North America, LLC",AIR BAGS,Vehicle,1.0
10/23/2015,"Halcore Group, Inc.",SEAT BELTS,Vehicle,3300.0
10/23/2015,Thor Motor Coach,ELECTRICAL SYSTEM,Vehicle,503.0
10/23/2015,Blue Bird Body Company,VISIBILITY/WIPER,Vehicle,63.0
10/23/2015,Blue Bird Body Company,VISIBILITY/WIPER,Vehicle,1.0
10/22/2015,"Mack Trucks, Inc.",POWER TRAIN,Vehicle,8.0
10/22/2015,ECCO Holdings Corp.,EQUIPMENT,Equipment,71388.0
10/22/2015,Toyota Motor Engineering & Manufacturing,VISIBILITY,Vehicle,1814284.0
10/22/2015,Atwood Mobile Products,EQUIPMENT,Equipment,7375.0
10/21/2015,"Bentley Motors, Inc.",ELECTRICAL SYSTEM,Vehicle,7778.0
10/21/2015,"Corp. Micro Bird, Inc.",ELECTRICAL SYSTEM,Vehicle,3.0
10/21/2015,"Jayco, Inc.",EQUIPMENT,Vehicle,724.0
10/21/2015,"Maserati North America, Inc.",ELECTRICAL SYSTEM,Vehicle,984.0
10/21/2015,Shyft Group,STEERING,Vehicle,2038.0
10/20/2015,Volvo Trucks North America,POWER TRAIN,Vehicle,7.0
10/20/2015,Hyundai Motor America,ELECTRICAL SYSTEM,Vehicle,64744.0
10/20/2015,"Nissan North America, Inc.",AIR BAGS,Vehicle,919.0
10/20/2015,Starcraft RV,ELECTRICAL SYSTEM,Vehicle,985.0
10/20/2015,Fontaine Modification,STEERING,Vehicle,358.0
10/20/2015,"Cummins, Inc.",ENGINE AND ENGINE COOLING,Equipment,3020.0
10/19/2015,"Chrysler (FCA US, LLC)",ENGINE AND ENGINE COOLING,Vehicle,75592.0
10/19/2015,Volvo Trucks North America,ELECTRICAL SYSTEM,Vehicle,3.0
10/19/2015,Starcraft RV,EQUIPMENT,Vehicle,224.0
10/19/2015,Mazda North American Operations,ELECTRICAL SYSTEM,Vehicle,1368500.0
10/19/2015,"Chrysler (FCA US, LLC)",AIR BAGS,Vehicle,284611.0
10/19/2015,Shyft Group,EQUIPMENT,Vehicle,406.0
10/19/2015,Mazda North American Operations,POWER TRAIN,Vehicle,4.0
10/19/2015,"Chrysler (FCA US, LLC)",ELECTRONIC STABILITY CONTROL,Vehicle,275187.0
10/16/2015,"Mercedes-Benz USA, LLC",ENGINE AND ENGINE COOLING,Vehicle,857.0
10/16/2015,Honda (American Honda Motor Co.),ELECTRICAL SYSTEM,Vehicle,35406.0
10/16/2015,"General Motors, LLC",AIR BAGS,Vehicle,395.0
10/16/2015,"Chrysler (FCA US, LLC)",TIRES,Vehicle,253.0
10/16/2015,"Winnebago Industries, Inc.",POWER TRAIN,Vehicle,297.0
10/16/2015,Shyft Group,"SERVICE BRAKES, HYDRAULIC",Vehicle,209.0
10/16/2015,Starcraft RV,EQUIPMENT,Vehicle,247.0
10/15/2015,"BMW of North America, LLC",STEERING,Vehicle,86018.0
10/15/2015,"Chrysler (FCA US, LLC)",POWER TRAIN,Vehicle,61859.0
10/15/2015,"Forest River, Inc.",ELECTRICAL SYSTEM,Vehicle,89.0
10/15/2015,"Airstream, Inc.",ELECTRICAL SYSTEM,Vehicle,564.0
10/14/2015,Toyota Motor Engineering & Manufacturing,AIR BAGS,Vehicle,306.0
10/14/2015,"Mercedes-Benz USA, LLC",ELECTRICAL SYSTEM,Vehicle,2618.0
10/14/2015,"Mercedes-Benz USA, LLC",ELECTRICAL SYSTEM,Vehicle,3177.0
10/14/2015,"Mercedes-Benz USA, LLC",SEAT BELTS,Vehicle,2580.0
10/14/2015,The RV Factory LLC,SEATS,Vehicle,7.0
10/14/2015,Newmar Corporation,SUSPENSION,Vehicle,119.0
10/13/2015,E-One Incorporated,AIR BAGS,Vehicle,18.0
10/13/2015,Great Dane Trailers,SUSPENSION,Vehicle,1971.0
10/13/2015,Volvo Trucks North America,SUSPENSION,Vehicle,14934.0
10/13/2015,Volvo Trucks North America,TRAILER HITCHES,Vehicle,669.0
10/13/2015,"Mack Trucks, Inc.",TRAILER HITCHES,Vehicle,448.0
10/13/2015,"Forest River, Inc.",EQUIPMENT,Vehicle,78.0
10/13/2015,"Forest River, Inc.",EQUIPMENT,Vehicle,19.0
10/13/2015,"Mercedes-Benz USA, LLC","FUEL SYSTEM, GASOLINE",Vehicle,4.0
10/13/2015,Newmar Corporation,PARKING BRAKE,Vehicle,86.0
10/13/2015,"Autocar, LLC",SERVICE BRAKES,Vehicle,483.0
10/09/2015,PACCAR Incorporated,POWER TRAIN,Vehicle,27.0
10/09/2015,PACCAR Incorporated,EQUIPMENT,Vehicle,290.0
10/09/2015,"General Motors, LLC",ELECTRICAL SYSTEM,Vehicle,3073.0
10/09/2015,Starcraft RV,STRUCTURE,Vehicle,35.0
10/09/2015,Hale Products Inc,EQUIPMENT,Equipment,1289.0
10/09/2015,"General Motors, LLC",SEATS,Vehicle,23.0
10/09/2015,Ducati North America,STRUCTURE,Vehicle,869.0
10/08/2015,Kovatch Mobile Equipment Corp.,SUSPENSION,Vehicle,8.0
10/08/2015,"Tiffin Motorhomes, Inc.",SUSPENSION,Vehicle,298.0
10/08/2015,"Navistar, Inc.",ELECTRICAL SYSTEM,Vehicle,74.0
10/08/2015,Volvo Trucks North America,ELECTRICAL SYSTEM,Vehicle,101.0
10/08/2015,Shyft Group,STEERING,Vehicle,3313.0
10/07/2015,Hyundai Motor America,SUSPENSION,Vehicle,28157.0
10/07/2015,Volvo Trucks North America,EXTERIOR LIGHTING,Vehicle,1669.0
10/07/2015,"Volkswagen Group of America, Inc.",AIR BAGS,Vehicle,993.0
10/07/2015,"BMW of North America, LLC",AIR BAGS,Vehicle,6073.0
10/06/2015,"Kia America, Inc.",POWER TRAIN,Vehicle,377062.0
10/06/2015,"Meritor, Inc.","SERVICE BRAKES, AIR",Equipment,259.0
10/06/2015,"Winnebago Industries, Inc.",EQUIPMENT,Vehicle,8842.0
10/06/2015,"Dorman Products, Inc.",STEERING,Equipment,1767.0
10/05/2015,"Daimler Trucks North America, LLC",ELECTRICAL SYSTEM,Vehicle,4.0
10/05/2015,Riverside RV,EQUIPMENT,Vehicle,132.0
10/05/2015,Hale Products Inc,POWER TRAIN,Equipment,51.0
10/05/2015,SAF-Holland,SUSPENSION,Equipment,768.0
10/02/2015,"Daimler Trucks North America, LLC",ELECTRICAL SYSTEM,Vehicle,273.0
10/02/2015,Mazda North American Operations,"FUEL SYSTEM, GASOLINE",Vehicle,14411.0
10/02/2015,"The Chamberlain Group, Inc.",EQUIPMENT,Equipment,8542.0
10/02/2015,"C & B Quality Trailer Works, Inc.",SUSPENSION,Vehicle,79.0
10/02/2015,Snake River Trailer Company,SUSPENSION,Vehicle,34.0
10/01/2015,"Daimler Trucks North America, LLC",POWER TRAIN,Vehicle,14.0
10/01/2015,Pierce Manufacturing,SUSPENSION,Vehicle,910.0
10/01/2015,"Daimler Trucks North America, LLC",TRAILER HITCHES,Vehicle,5801.0
10/01/2015,Ford Motor Company,"FUEL SYSTEM, GASOLINE",Vehicle,658.0
09/30/2015,"Tiffin Motorhomes, Inc.",ENGINE AND ENGINE COOLING,Vehicle,140.0
09/30/2015,"Daimler Trucks North America, LLC",STEERING,Vehicle,10843.0
09/30/2015,Keystone RV Company,STRUCTURE,Vehicle,240.0
09/30/2015,Ford Motor Company,POWER TRAIN,Vehicle,1477.0
09/30/2015,Ford Motor Company,FORWARD COLLISION AVOIDANCE,Vehicle,33481.0
09/29/2015,Ford Motor Company,SUSPENSION,Vehicle,283413.0
09/29/2015,"Navistar, Inc.",TRAILER HITCHES,Vehicle,3776.0
09/29/2015,"General Motors, LLC",VISIBILITY,Vehicle,29295.0
09/29/2015,Ford Motor Company,POWER TRAIN,Vehicle,57.0
09/28/2015,Shyft Group,EQUIPMENT,Vehicle,14.0
09/28/2015,Volvo Bus Corporation,ENGINE AND ENGINE COOLING,Vehicle,205.0
09/28/2015,Ford Motor Company,"FUEL SYSTEM, GASOLINE",Vehicle,203.0
09/25/2015,Honda (American Honda Motor Co.),HYBRID PROPULSION SYSTEM,Vehicle,6786.0
09/25/2015,"Merhow Acquisition, LLC",LATCHES/LOCKS/LINKAGES,Vehicle,178.0
09/25/2015,"Jaguar Land Rover North America, LLC",SEATS,Vehicle,856.0
09/24/2015,E-One Incorporated,SUSPENSION,Vehicle,9.0
09/24/2015,PACCAR Incorporated,ELECTRICAL SYSTEM,Vehicle,354.0
09/24/2015,"General Motors, LLC",VISIBILITY,Vehicle,9932.0
09/24/2015,Lippert,EQUIPMENT,Equipment,47340.0
09/24/2015,"Forest River, Inc.",ENGINE AND ENGINE COOLING,Vehicle,17.0
09/24/2015,"Chrysler (FCA US, LLC)",LATCHES/LOCKS/LINKAGES,Vehicle,1625.0
09/23/2015,"Chrysler (FCA US, LLC)",ELECTRICAL SYSTEM,Vehicle,41.0
09/23/2015,"Mitsubishi Motors North America, Inc.",AIR BAGS,Vehicle,13558.0
09/23/2015,Blue Bird Body Company,ELECTRICAL SYSTEM,Vehicle,2.0
09/23/2015,"Forest River, Inc.",ELECTRICAL SYSTEM,Vehicle,5374.0
09/23/2015,"Chrysler (FCA US, LLC)",AIR BAGS,Vehicle,15.0
09/23/2015,"Yamaha Motor Corporation, USA",STEERING,Vehicle,16.0
09/23/2015,"Stealth Enterprises, LLC",SUSPENSION,Vehicle,165.0
09/22/2015,DS Corp - DBA Crossroads RV,EQUIPMENT,Vehicle,246.0
09/22/2015,Newmar Corporation,ENGINE AND ENGINE COOLING,Vehicle,165.0
09/22/2015,Kymco USA,"SERVICE BRAKES, HYDRAULIC",Vehicle,824.0
09/22/2015,"Michelin North America, Inc.",TIRES,Tire,247.0
09/22/2015,"Suzuki Motor USA, LLC",STEERING,Vehicle,18673.0
09/22/2015,"Daimler Trucks North America, LLC","SERVICE BRAKES, AIR",Vehicle,53.0
09/21/2015,Eaton Corporation,POWER TRAIN,Equipment,75.0
09/21/2015,"Mitsubishi Motors North America, Inc.",EQUIPMENT,Vehicle,2.0
09/21/2015,Motor Coach Industries,ELECTRICAL SYSTEM,Vehicle,145.0
09/21/2015,Henderson Wheel & Trailer Supply Inc.,SUSPENSION,Equipment,600.0
09/21/2015,"Winnebago Industries, Inc.",ELECTRICAL SYSTEM,Vehicle,172.0
09/18/2015,Triple E Recreational Vehicles,ELECTRICAL SYSTEM,Vehicle,13.0
09/18/2015,Toyota Motor Engineering & Manufacturing,VISIBILITY/WIPER,Vehicle,423456.0
09/16/2015,Vermeer Manufacturing Company,EXTERIOR LIGHTING,Vehicle,21401.0
09/16/2015,"Forest River, Inc.",TRAILER HITCHES,Vehicle,3804.0
09/15/2015,"Old World Industries, LLC",ELECTRICAL SYSTEM,Equipment,683.0
09/15/2015,Honda (American Honda Motor Co.),POWER TRAIN,Vehicle,143676.0
09/14/2015,"Nissan North America, Inc.",SUSPENSION,Vehicle,218019.0
09/14/2015,"McNeilus Truck & Manufacturing, Inc.",EQUIPMENT,Vehicle,6745.0
09/11/2015,Triple E Recreational Vehicles,ELECTRICAL SYSTEM,Vehicle,246.0
09/11/2015,"Jaguar Land Rover North America, LLC",AIR BAGS,Vehicle,5914.0
09/11/2015,"Jaguar Land Rover North America, LLC",STEERING,Vehicle,1.0
09/10/2015,"Cequent Consumer Products, Inc.",EQUIPMENT,Equipment,2724.0
09/10/2015,Hyundai Motor America,ENGINE,Vehicle,470000.0
09/10/2015,Entegra Coach,ENGINE AND ENGINE COOLING,Vehicle,99.0
09/08/2015,Hyundai Motor America,EXTERIOR LIGHTING,Vehicle,99500.0
09/08/2015,"Cummins, Inc.",ELECTRICAL SYSTEM,Equipment,805.0
09/04/2015,"Ferrara Fire Apparatus, Inc.",SUSPENSION,Vehicle,8.0
09/04/2015,"New Flyer of America, Inc.",STEERING,Vehicle,432.0
09/04/2015,Keystone RV Company,ELECTRICAL SYSTEM,Vehicle,3585.0
09/04/2015,Honda (American Honda Motor Co.),AIR BAGS,Vehicle,37.0
09/04/2015,"Daimler Trucks North America, LLC",EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,52.0
09/04/2015,"Daimler Trucks North America, LLC",EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,4334.0
09/03/2015,Honda (American Honda Motor Co.),ELECTRICAL SYSTEM,Vehicle,17796.0
09/03/2015,"General Motors, LLC",VISIBILITY,Vehicle,96145.0
09/03/2015,Eldorado National-Kansas,SEAT BELTS,Vehicle,23.0
09/03/2015,Fontaine Trailer Company,SUSPENSION,Vehicle,23.0
09/02/2015,"Foretravel, Inc.",SUSPENSION,Vehicle,57.0
09/02/2015,"Forest River, Inc.",VISIBILITY,Vehicle,1736.0
09/02/2015,"Peter Paul Electronics Co., Inc.","FUEL SYSTEM, OTHER",Equipment,4567.0
09/02/2015,"Volvo Car USA, LLC",ELECTRICAL SYSTEM,Vehicle,7855.0
09/02/2015,"Forest River, Inc.",SUSPENSION,Vehicle,1736.0
09/01/2015,Shyft Group,ENGINE AND ENGINE COOLING,Vehicle,1212.0
09/01/2015,"Kawasaki Motors Corp., U.S.A.",ELECTRICAL SYSTEM,Vehicle,11836.0
09/01/2015,Shyft Group,VISIBILITY,Vehicle,322.0
09/01/2015,Specialty Products Company,SUSPENSION,Equipment,897.0
09/01/2015,Shyft Group,SUSPENSION,Vehicle,440.0
08/31/2015,"Corp. Micro Bird, Inc.",ELECTRICAL SYSTEM,Vehicle,11.0
08/31/2015,"Corp. Micro Bird, Inc.",ELECTRICAL SYSTEM,Vehicle,283.0
08/31/2015,"Mitsubishi Motors North America, Inc.","FUEL SYSTEM, GASOLINE",Vehicle,1497.0
08/27/2015,"Alpine Electronics of America, Inc.",EQUIPMENT,Equipment,13914.0
08/27/2015,"Strick Trailers, LLC",STRUCTURE,Vehicle,33.0
08/27/2015,"Holley Performance Products, Inc","FUEL SYSTEM, OTHER",Equipment,1020.0
08/26/2015,"Chrysler (FCA US, LLC)",STEERING,Vehicle,149080.0
08/25/2015,Shyft Group,STRUCTURE,Vehicle,696.0
08/25/2015,"Chrysler (FCA US, LLC)",POWER TRAIN,Vehicle,23564.0
08/24/2015,"BMW of North America, LLC",ELECTRICAL SYSTEM,Vehicle,1060.0
08/24/2015,"McNeilus Truck & Manufacturing, Inc.","FUEL SYSTEM, OTHER",Vehicle,365.0
08/24/2015,East Manufacturing Corp.,SUSPENSION,Vehicle,83.0
08/21/2015,"Chrysler (FCA US, LLC)",AIR BAGS,Vehicle,188047.0
08/21/2015,"Strick Trailers, LLC",SUSPENSION,Vehicle,4.0
08/21/2015,"McNeilus Truck & Manufacturing, Inc.",EQUIPMENT,Vehicle,809.0
08/21/2015,Ricon Corporation,EQUIPMENT ADAPTIVE/MOBILITY,Equipment,38000.0
08/20/2015,Reyco Granning,STEERING,Equipment,2016.0
08/20/2015,Ford Motor Company,SEAT BELTS,Vehicle,25941.0
08/20/2015,Oshkosh Corporation,"FUEL SYSTEM, OTHER",Vehicle,33.0
08/19/2015,Thor Motor Coach,EQUIPMENT,Vehicle,98.0
08/19/2015,Thor Motor Coach,VISIBILITY,Vehicle,290.0
08/18/2015,"Mack Trucks, Inc.","SERVICE BRAKES, AIR",Vehicle,84.0
08/18/2015,"Forest River, Inc.",ELECTRICAL SYSTEM,Vehicle,32.0
08/18/2015,"Forest River, Inc.","FUEL SYSTEM, OTHER",Vehicle,30.0
